CB3 Equity Report — Data Reference by Domain,,,,,,
"ACS data: 2020–2024 5-year (Dec 2025). PLACES: 2025 release (BRFSS 2022).  |  Acquisition Status:  ? In library = file staged & ready     ?? Partial = some files ready, others needed     ?? Acquire = primary data not yet in library",,,,,,
,,,,,,
GEOGRAPHY & SHARED BASE LAYERS,,,,,,
Domain,Analysis / Metric,Primary Data File(s),Key Field / Filter,Used in Analysis,Notes,Acquisition Status
Geography,CB3 census tract boundaries (2020),NYC DCP 2020 Census Tract shapefile (NYC OpenData),31 CB3 tracts; filter to Manhattan CB3,All maps — base geometry,?? PENDING acquisition. Base geometry for every map in the report.,Acquire
Geography,CB3 community district boundary,NYC DCP Community Districts (OpenData),CD = 103 (Manhattan CD 3),All maps — outer boundary,Clip/mask layer for all maps.,In library
Geography,NTA boundaries (2020),NYC DCP NTA 2020 (OpenData),MN0301 / MN0302 / MN0303,All maps — NTA grouping,"Three NTAs: Chinatown–Two Bridges, Lower East Side, East Village.",In library
Geography,Census Tract ? NTA ? CDTA crosswalk,nyc_2020_census_tract_nta_cdta_relationships.xlsx,—,All maps — tract aggregation,"Locks the 31-tract definition. Validates occupied units = 73,548.",In library
Geography,2010 ? 2020 census tract crosswalk,nyc_2010to2020_split_census_tract_pop_proportion.xlsx,—,"6.1 heat, 6.3 rodents EJ overlay",Needed to join EJ Areas (2010 GEOID10) to 2020 tract boundaries.,In library
Geography,Census Tract ? CCD2023 crosswalk,NYC DCP 2020 (project library),—,All maps — council district splits,Maps 31 tracts to City Council Districts 1 (15 tracts) and 2 (16 tracts).,In library
Geography,Census Block crosswalk,NYC DCP 2020 Census Block crosswalk,—,4.x education — school geocoding,"For sub-tract spatial joins (e.g., school address geocoding to tract).",In library
Geography,ZIP Code Tabulation Areas (ZCTAs),Census TIGER 2020 ZCTAs,"ZIPs 10002, 10003, 10009, 10038",5.1 heat vulnerability,CB3 ZIPs for HVI and DOHMH indicators reported at ZIP level.,In library
Geography,UHF34 / UHF42 neighborhood boundaries,NYC DOHMH UHF boundaries,UHF 309 + 310,5.4 pediatric asthma,UHF34 preferred — better CB3 geographic fit than UHF42.,In library
Geography,NYC Community Districts — all 59,NYC DCP Community Districts (OpenData),All 59 CDs,Introduction citywide orientation map,For the NYC-wide orientation map showing CB3 among all 59 CDs.,In library
Geography,Environmental Justice Areas 2024,EJ_Areas_1364276073866452550.csv (point/polygon),GEOID10 join; cross-walk via 2010?2020 tract file,"5.1 heat, 5.4 asthma, 6.3 rodents, 6.x air quality",22 of CB3's 31 tracts are 2024 EJ Areas. Uses 2010 GEOID — requires crosswalk.,In library
Geography,Hurricane Evacuation Zones (v26A),"nyhez.shp (+ .dbf, .shx, .prj)","HURRICANE_ field (zones 1–6, X, 7); CRS EPSG 2263",6.2 hurricane / flood risk,Zone 1 covers the East River shoreline of CB3. Requires spatial join to tracts.,In library
Geography,NYC MapPLUTO (most recent),NYC DCP MapPLUTO (OpenData),Elevator field (Y/N); join by BBL,1.x housing quality; senior walk-ups,Tax lot–level file. Used for building-level housing analyses and walk-up buildings analysis.,In library
,,,,,,
,,,,,,
BACKGROUND DEMOGRAPHIC LAYERS (overlaid on all domain maps),,,,,,
Domain,Analysis / Metric,Primary Data File(s),Key Field / Filter,Used in Analysis,Notes,Acquisition Status
Domain EMO,Race / ethnicity — primary,acs_5yr_2024_B03002.csv,"B03002_003E (White NH), _004E (Black), _006E (Asian), _012E (Hispanic)",All maps — race/ethnicity overlay,Primary race table. Sub-chooser: % Asian / Black / Hispanic / White-NH. Note: B01001 also used for age — same file pull needed.,Acquire
Domain EMO,Race / ethnicity — variants by group,acs_5yr_2024_B03002 variants (A/B/D/H/I),"Race variant _001E totals; A=White, B=Black, D=Asian, H=White-NH, I=Hispanic","All maps — race overlay; 1.5 evictions, 2.1 safety-net, 2.4 wages, 3.3 senior poverty",Race-disaggregated versions for within-group analysis across domains.,Acquire
Domain EMO,Sex by age,acs_5yr_2024_B01001.csv,Under-5: sum cells _003–_006E (male) + _027–_030E (female); 65+: cells _020–_025E + _044–_049E,"All maps — age overlay; 4.4 childcare, 4.6 after-school, 5.4 asthma denominator","Sub-chooser: % 65+, % under 18, median age. Under-5 denominator for childcare seats analysis.",Acquire
Domain EMO,Median household income,acs_5yr_2024_B19013.csv,B19013_001E,All maps — income overlay; 1.1 rent burden,"Within-CB3 spread: $20,876–$166,447 (8×). Primary income variable throughout.",In library
Domain EMO,Household income distribution,acs_5yr_2024_B19001.csv,"B19001_002E (<$10K), B19001_017E (>$200K)",Introduction; 1.6 AMI mismatch,Income diversity framing: 11.4% earn <$10K; 16.4% earn >$200K. CB3 ranks #1 of 59 CDs.,In library
